Project ID,Project Name,Project Type,Location,Start Date,End Date,Project Status,Priority,Task ID,Task Name,Task Status,Assigned To,Hours Spent,Budget,Actual Cost,Progress,Duplicate Task ID(within project),processed_description
P001,Renovation of a School Project 001,Renovation,Texas,21-07-2024 00:00,08-08-2024 00:00,Behind,Medium,T001,Task 001 of Renovation of a School Project 001,In Progress,Bob,12,9621,0,0.24,FALSE,task 001 renov school project 001
P001,Renovation of a School Project 001,Renovation,New Jersey,21-07-2024 00:00,12-08-2024 00:00,Behind,High,T002,Task 002 of Renovation of a School Project 001,In Progress,Charlie,4,7814,0,0.56,FALSE,task 002 renov school project 001
P001,Renovation of a School Project 001,Renovation,Ohio,21-07-2024 00:00,10-08-2024 00:00,Behind,High,T003,Task 003 of Renovation of a School Project 001,Completed,Charlie,5,1028,1011,1,FALSE,task 003 renov school project 001
P002,Innovation of a Classroom Project 002,Innovation,Pennsylvania,04-06-2024 00:00,12-07-2025 00:00,On Track,High,T001,Task 001 of Innovation of a Classroom Project 002,Pending,Charlie,24,1530,0,0.33,FALSE,task 001 innov classroom project 002
P002,Innovation of a Classroom Project 002,Innovation,New York,04-06-2024 00:00,26-06-2025 00:00,On Track,Medium,T002,Task 002 of Innovation of a Classroom Project 002,Pending,Charlie,26,7201,0,0.32,FALSE,task 002 innov classroom project 002
P002,Innovation of a Classroom Project 002,Innovation,California,04-06-2024 00:00,25-03-2025 00:00,On Track,Low,T003,Task 003 of Innovation of a Classroom Project 002,In Progress,Alice,28,9814,0,0.29,FALSE,task 003 innov classroom project 002
P003,Construction of a Hospital Wing Project 003,Construction,Pennsylvania,20-07-2024 00:00,22-08-2024 00:00,Completed,Low,T001,Task 001 of Construction of a Hospital Wing Project 003,Completed,Grace,7,7981,7717,1,FALSE,task 001 construct hospit wing project 003
P003,Construction of a Hospital Wing Project 003,Construction,Virginia,20-07-2024 00:00,25-09-2024 00:00,Completed,Medium,T002,Task 002 of Construction of a Hospital Wing Project 003,Completed,Frank,23,1032,637,1,FALSE,task 002 construct hospit wing project 003
P003,Construction of a Hospital Wing Project 003,Construction,Ohio,20-07-2024 00:00,22-08-2024 00:00,Completed,Medium,T003,Task 003 of Construction of a Hospital Wing Project 003,Completed,Grace,13,8546,8502,1,FALSE,task 003 construct hospit wing project 003
P004,Road Expansion Project 004,Infrastructure,Pennsylvania,25-04-2024 00:00,06-05-2024 00:00,Completed,Medium,T001,Task 001 of Road Expansion Project 004,Completed,Frank,28,3728,3369,1,FALSE,task 001 road expans project 004
P004,Road Expansion Project 004,Infrastructure,Texas,25-04-2024 00:00,05-05-2024 00:00,Completed,High,T002,Task 002 of Road Expansion Project 004,In Progress,Charlie,26,9707,0,0.99,FALSE,task 002 road expans project 004
P004,Road Expansion Project 004,Infrastructure,Texas,25-04-2024 00:00,10-05-2024 00:00,Completed,Medium,T003,Task 003 of Road Expansion Project 004,Pending,Charlie,18,5712,0,0.74,FALSE,task 003 road expans project 004
P005,Bridge Maintenance Project 005,Maintenance,Michigan,30-06-2024 00:00,31-07-2025 00:00,Behind,Medium,T001,Task 001 of Bridge Maintenance Project 005,Pending,Charlie,18,3453,0,0.78,FALSE,task 001 bridg mainten project 005
P005,Bridge Maintenance Project 005,Maintenance,California,30-06-2024 00:00,02-08-2024 00:00,Behind,Medium,T002,Task 002 of Bridge Maintenance Project 005,Completed,Frank,7,2896,2643,1,FALSE,task 002 bridg mainten project 005
P005,Bridge Maintenance Project 005,Maintenance,Virginia,30-06-2024 00:00,30-06-2025 00:00,Behind,High,T003,Task 003 of Bridge Maintenance Project 005,Pending,Grace,0,6463,0,0.04,FALSE,task 003 bridg mainten project 005
P006,Office Building Renovation Project 006,Renovation,Michigan,09-08-2024 00:00,11-09-2024 00:00,Behind,Low,T001,Task 001 of Office Building Renovation Project 006,Completed,Alice,9,3206,2739,1,FALSE,task 001 offic build renov project 006
P006,Office Building Renovation Project 006,Renovation,North Carolina,09-08-2024 00:00,11-09-2024 00:00,Behind,Medium,T002,Task 002 of Office Building Renovation Project 006,Completed,Frank,40,6477,6402,1,FALSE,task 002 offic build renov project 006
P006,Office Building Renovation Project 006,Renovation,Pennsylvania,09-08-2024 00:00,20-02-2025 00:00,Behind,High,T003,Task 003 of Office Building Renovation Project 006,In Progress,Charlie,40,8634,0,0.07,FALSE,task 003 offic build renov project 006
P007,Apartment Complex Development Project 007,Other,California,06-08-2024 00:00,17-11-2024 00:00,On Track,High,T001,Task 001 of Apartment Complex Development Project 007,Pending,Ivy,32,2552,0,0.62,FALSE,task 001 apart complex develop project 007
P007,Apartment Complex Development Project 007,Other,Florida,06-08-2024 00:00,29-11-2024 00:00,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 007,Pending,Grace,25,4699,0,0.85,FALSE,task 002 apart complex develop project 007
P007,Apartment Complex Development Project 007,Other,Pennsylvania,06-08-2024 00:00,17-11-2024 00:00,On Track,Low,T003,Task 003 of Apartment Complex Development Project 007,Pending,Ivy,10,1720,0,0.92,FALSE,task 003 apart complex develop project 007
P008,Commercial Center Construction Project 008,Construction,Illinois,17-04-2024 00:00,13-09-2024 00:00,On Track,Medium,T001,Task 001 of Commercial Center Construction Project 008,Pending,Alice,17,9458,0,0.59,FALSE,task 001 commerci center construct project 008
P008,Commercial Center Construction Project 008,Construction,Washington,17-04-2024 00:00,05-11-2024 00:00,On Track,Low,T002,Task 002 of Commercial Center Construction Project 008,Pending,Charlie,21,4735,0,0.26,FALSE,task 002 commerci center construct project 008
P008,Commercial Center Construction Project 008,Construction,Georgia,17-04-2024 00:00,19-10-2024 00:00,On Track,High,T003,Task 003 of Commercial Center Construction Project 008,Pending,Charlie,7,9460,0,0.45,FALSE,task 003 commerci center construct project 008
P009,Highway Reconstruction Project 009,Other,Texas,27-04-2024 00:00,28-04-2025 00:00,On Hold,High,T001,Task 001 of Highway Reconstruction Project 009,Pending,Charlie,35,6385,0,0.36,FALSE,task 001 highway reconstruct project 009
P009,Highway Reconstruction Project 009,Other,Virginia,27-04-2024 00:00,01-06-2025 00:00,On Hold,Medium,T002,Task 002 of Highway Reconstruction Project 009,Pending,Ivy,2,7980,0,0.88,FALSE,task 002 highway reconstruct project 009
P009,Highway Reconstruction Project 009,Other,Ohio,27-04-2024 00:00,26-05-2025 00:00,On Hold,Low,T003,Task 003 of Highway Reconstruction Project 009,Pending,Charlie,26,1106,0,0.97,FALSE,task 003 highway reconstruct project 009
P010,Airport Expansion Project 010,Other,New Jersey,14-02-2024 00:00,15-06-2024 00:00,On Track,High,T001,Task 001 of Airport Expansion Project 010,Pending,Grace,32,1577,4850,0.1,FALSE,task 001 airport expans project 010
P010,Airport Expansion Project 010,Other,Ohio,14-02-2024 00:00,08-06-2024 00:00,On Track,High,T002,Task 002 of Airport Expansion Project 010,Pending,Alice,16,3110,0,0.7,FALSE,task 002 airport expans project 010
P010,Airport Expansion Project 010,Other,Ohio,14-02-2024 00:00,26-05-2024 00:00,On Track,Low,T003,Task 003 of Airport Expansion Project 010,Pending,Charlie,11,3432,0,0.6,FALSE,task 003 airport expans project 010
P011,Shopping Mall Renovation Project 011,Renovation,Texas,08-05-2024 00:00,28-07-2024 00:00,Completed,High,T001,Task 001 of Shopping Mall Renovation Project 011,In Progress,Eve,15,3544,0,0.64,FALSE,task 001 shop mall renov project 011
P011,Shopping Mall Renovation Project 011,Renovation,Georgia,08-05-2024 00:00,19-08-2024 00:00,Completed,High,T002,Task 002 of Shopping Mall Renovation Project 011,In Progress,Eve,40,7808,0,0.44,FALSE,task 002 shop mall renov project 011
P011,Shopping Mall Renovation Project 011,Renovation,Florida,08-05-2024 00:00,01-08-2024 00:00,Completed,High,T003,Task 003 of Shopping Mall Renovation Project 011,Pending,Alice,1,1776,0,0.02,FALSE,task 003 shop mall renov project 011
P012,University Dormitory Construction Project 012,Construction,Georgia,27-01-2024 00:00,29-02-2024 00:00,Completed,High,T001,Task 001 of University Dormitory Construction Project 012,Completed,Frank,15,1815,1679,1,FALSE,task 001 univers dormitori construct project 012
P012,University Dormitory Construction Project 012,Construction,Ohio,27-01-2024 00:00,29-02-2024 00:00,Completed,High,T002,Task 002 of University Dormitory Construction Project 012,Completed,Bob,40,8915,8464,1,FALSE,task 002 univers dormitori construct project 012
P012,University Dormitory Construction Project 012,Construction,New York,27-01-2024 00:00,27-06-2025 00:00,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 012,Pending,Alice,18,9242,0,0.98,FALSE,task 003 univers dormitori construct project 012
P013,Sports Stadium Upgrade Project 013,Other,Florida,09-02-2024 00:00,24-08-2024 00:00,On Hold,Medium,T001,Task 001 of Sports Stadium Upgrade Project 013,Completed,Alice,12,9559,9379,1,FALSE,task 001 sport stadium upgrad project 013
P013,Sports Stadium Upgrade Project 013,Other,Michigan,09-02-2024 00:00,06-07-2024 00:00,On Hold,Medium,T002,Task 002 of Sports Stadium Upgrade Project 013,In Progress,Bob,38,4795,0,0.28,FALSE,task 002 sport stadium upgrad project 013
P013,Sports Stadium Upgrade Project 013,Other,California,09-02-2024 00:00,28-07-2024 00:00,On Hold,Medium,T003,Task 003 of Sports Stadium Upgrade Project 013,In Progress,Alice,6,5258,0,0.55,FALSE,task 003 sport stadium upgrad project 013
P014,Public Library Renovation Project 014,Renovation,Ohio,30-07-2024 00:00,20-12-2024 00:00,Behind,Low,T001,Task 001 of Public Library Renovation Project 014,In Progress,Grace,31,8531,0,0.1,FALSE,task 001 public librari renov project 014
P014,Public Library Renovation Project 014,Renovation,Ohio,30-07-2024 00:00,30-01-2025 00:00,Behind,Low,T002,Task 002 of Public Library Renovation Project 014,Pending,Charlie,8,3564,0,0.82,FALSE,task 002 public librari renov project 014
P014,Public Library Renovation Project 014,Renovation,New Jersey,30-07-2024 00:00,29-12-2024 00:00,Behind,Medium,T003,Task 003 of Public Library Renovation Project 014,Pending,Charlie,6,6213,0,0.22,FALSE,task 003 public librari renov project 014
P015,Building a Park Project 015,Other,Georgia,17-03-2024 00:00,19-04-2024 00:00,On Hold,High,T001,Task 001 of Building a Park Project 015,Completed,Ivy,8,4714,4608,1,FALSE,task 001 build park project 015
P015,Building a Park Project 015,Other,New Jersey,17-03-2024 00:00,19-04-2024 00:00,On Hold,Medium,T002,Task 002 of Building a Park Project 015,Completed,Charlie,4,1026,528,1,FALSE,task 002 build park project 015
P015,Building a Park Project 015,Other,North Carolina,17-03-2024 00:00,19-04-2024 00:00,On Hold,High,T003,Task 003 of Building a Park Project 015,Completed,Bob,22,5365,5232,1,FALSE,task 003 build park project 015
P016,Renovation of a School Project 016,Renovation,Georgia,18-02-2024 00:00,25-09-2024 00:00,Completed,Medium,T001,Task 001 of Renovation of a School Project 016,Completed,Bob,5,3688,3610,1,FALSE,task 001 renov school project 016
P016,Renovation of a School Project 016,Renovation,Texas,18-02-2024 00:00,22-10-2024 00:00,Completed,High,T002,Task 002 of Renovation of a School Project 016,Pending,Eve,27,3233,0,0.38,FALSE,task 002 renov school project 016
P016,Renovation of a School Project 016,Renovation,Florida,18-02-2024 00:00,15-09-2024 00:00,Completed,Medium,T003,Task 003 of Renovation of a School Project 016,Pending,Eve,25,8366,0,0.55,FALSE,task 003 renov school project 016
P017,Innovation of a Classroom Project 017,Innovation,Virginia,02-04-2024 00:00,25-10-2024 00:00,On Track,Low,T001,Task 001 of Innovation of a Classroom Project 017,Pending,Eve,40,1856,0,0.87,FALSE,task 001 innov classroom project 017
P017,Innovation of a Classroom Project 017,Innovation,Illinois,02-04-2024 00:00,23-09-2024 00:00,On Track,High,T002,Task 002 of Innovation of a Classroom Project 017,Completed,Charlie,34,5620,5481,1,FALSE,task 002 innov classroom project 017
P017,Innovation of a Classroom Project 017,Innovation,Georgia,02-04-2024 00:00,14-10-2024 00:00,On Track,High,T003,Task 003 of Innovation of a Classroom Project 017,In Progress,Alice,18,1904,0,0.62,FALSE,task 003 innov classroom project 017
P018,Construction of a Hospital Wing Project 018,Construction,Ohio,09-02-2024 00:00,05-03-2024 00:00,Behind,Medium,T001,Task 001 of Construction of a Hospital Wing Project 018,In Progress,Grace,26,5908,0,0.66,FALSE,task 001 construct hospit wing project 018
P018,Construction of a Hospital Wing Project 018,Construction,North Carolina,09-02-2024 00:00,01-03-2024 00:00,Behind,Medium,T002,Task 002 of Construction of a Hospital Wing Project 018,In Progress,Grace,37,2176,0,0.54,FALSE,task 002 construct hospit wing project 018
P018,Construction of a Hospital Wing Project 018,Construction,Pennsylvania,09-02-2024 00:00,25-02-2024 00:00,Behind,Medium,T003,Task 003 of Construction of a Hospital Wing Project 018,Pending,Grace,7,9002,0,0.2,FALSE,task 003 construct hospit wing project 018
P019,Road Expansion Project 019,Infrastructure,Texas,10-06-2024 00:00,30-12-2024 00:00,Behind,High,T001,Task 001 of Road Expansion Project 019,Pending,Grace,11,6821,0,0.61,FALSE,task 001 road expans project 019
P019,Road Expansion Project 019,Infrastructure,Ohio,10-06-2024 00:00,25-09-2024 00:00,Behind,Medium,T002,Task 002 of Road Expansion Project 019,Completed,Ivy,1,7324,7263,1,FALSE,task 002 road expans project 019
P019,Road Expansion Project 019,Infrastructure,Georgia,10-06-2024 00:00,24-12-2024 00:00,Behind,Medium,T003,Task 003 of Road Expansion Project 019,Pending,Charlie,13,3099,0,0.46,FALSE,task 003 road expans project 019
P020,Bridge Maintenance Project 020,Maintenance,Michigan,10-04-2024 00:00,03-07-2024 00:00,Completed,Medium,T001,Task 001 of Bridge Maintenance Project 020,Completed,Eve,18,7962,7526,1,FALSE,task 001 bridg mainten project 020
P020,Bridge Maintenance Project 020,Maintenance,California,10-04-2024 00:00,02-08-2024 00:00,Completed,High,T002,Task 002 of Bridge Maintenance Project 020,In Progress,Grace,36,7221,0,0.84,FALSE,task 002 bridg mainten project 020
P020,Bridge Maintenance Project 020,Maintenance,Michigan,10-04-2024 00:00,02-07-2024 00:00,Completed,High,T003,Task 003 of Bridge Maintenance Project 020,Pending,Grace,24,7256,0,0.11,FALSE,task 003 bridg mainten project 020
P021,Office Building Renovation Project 021,Renovation,North Carolina,21-03-2024 00:00,15-12-2024 00:00,Behind,High,T001,Task 001 of Office Building Renovation Project 021,In Progress,Alice,26,8483,0,0.43,FALSE,task 001 offic build renov project 021
P021,Office Building Renovation Project 021,Renovation,Michigan,21-03-2024 00:00,25-09-2024 00:00,Behind,High,T002,Task 002 of Office Building Renovation Project 021,Completed,Frank,21,2463,2091,1,FALSE,task 002 offic build renov project 021
P021,Office Building Renovation Project 021,Renovation,Georgia,21-03-2024 00:00,20-09-2024 00:00,Behind,High,T003,Task 003 of Office Building Renovation Project 021,Completed,Ivy,15,8372,7940,1,FALSE,task 003 offic build renov project 021
P022,Apartment Complex Development Project 022,Other,Michigan,09-01-2024 00:00,11-04-2024 00:00,On Track,High,T001,Task 001 of Apartment Complex Development Project 022,In Progress,Ivy,6,8903,0,0.68,FALSE,task 001 apart complex develop project 022
P022,Apartment Complex Development Project 022,Other,California,09-01-2024 00:00,28-04-2024 00:00,On Track,Medium,T002,Task 002 of Apartment Complex Development Project 022,In Progress,Grace,7,1255,0,0.28,FALSE,task 002 apart complex develop project 022
P022,Apartment Complex Development Project 022,Other,Virginia,09-01-2024 00:00,24-04-2024 00:00,On Track,High,T003,Task 003 of Apartment Complex Development Project 022,In Progress,Ivy,18,1424,2183,0.77,FALSE,task 003 apart complex develop project 022
P023,Commercial Center Construction Project 023,Construction,Virginia,04-01-2024 00:00,18-05-2024 00:00,Behind,High,T001,Task 001 of Commercial Center Construction Project 023,Pending,Alice,17,3662,0,0.45,FALSE,task 001 commerci center construct project 023
P023,Commercial Center Construction Project 023,Construction,North Carolina,04-01-2024 00:00,01-06-2024 00:00,Behind,Medium,T002,Task 002 of Commercial Center Construction Project 023,Pending,Charlie,27,2437,0,0.02,FALSE,task 002 commerci center construct project 023
P023,Commercial Center Construction Project 023,Construction,Illinois,04-01-2024 00:00,10-04-2024 00:00,Behind,Low,T003,Task 003 of Commercial Center Construction Project 023,In Progress,Charlie,19,7519,0,0.45,FALSE,task 003 commerci center construct project 023
P024,Highway Reconstruction Project 024,Other,Illinois,16-08-2024 00:00,29-08-2024 00:00,Completed,Medium,T001,Task 001 of Highway Reconstruction Project 024,In Progress,Charlie,1,5955,0,0.05,FALSE,task 001 highway reconstruct project 024
P024,Highway Reconstruction Project 024,Other,Florida,16-08-2024 00:00,04-09-2024 00:00,Completed,Low,T002,Task 002 of Highway Reconstruction Project 024,Pending,Ivy,1,1799,0,0.75,FALSE,task 002 highway reconstruct project 024
P024,Highway Reconstruction Project 024,Other,Michigan,16-08-2024 00:00,01-09-2024 00:00,Completed,Medium,T003,Task 003 of Highway Reconstruction Project 024,Completed,Eve,24,8925,8659,1,FALSE,task 003 highway reconstruct project 024
P025,Airport Expansion Project 025,Other,Washington,05-05-2024 00:00,20-07-2024 00:00,On Hold,High,T001,Task 001 of Airport Expansion Project 025,Completed,Alice,37,8938,8487,1,FALSE,task 001 airport expans project 025
P025,Airport Expansion Project 025,Other,New Jersey,05-05-2024 00:00,17-07-2024 00:00,On Hold,Low,T002,Task 002 of Airport Expansion Project 025,In Progress,David,10,8533,0,0.72,FALSE,task 002 airport expans project 025
P025,Airport Expansion Project 025,Other,New York,05-05-2024 00:00,03-07-2024 00:00,On Hold,Medium,T003,Task 003 of Airport Expansion Project 025,In Progress,Charlie,16,8402,0,0.5,FALSE,task 003 airport expans project 025
P026,Shopping Mall Renovation Project 026,Renovation,Pennsylvania,08-07-2024 00:00,30-04-2025 00:00,On Hold,Low,T001,Task 001 of Shopping Mall Renovation Project 026,In Progress,Eve,21,6524,0,0.1,FALSE,task 001 shop mall renov project 026
P026,Shopping Mall Renovation Project 026,Renovation,Illinois,08-07-2024 00:00,10-08-2024 00:00,On Hold,Medium,T002,Task 002 of Shopping Mall Renovation Project 026,Completed,Eve,34,8061,8002,1,FALSE,task 002 shop mall renov project 026
P026,Shopping Mall Renovation Project 026,Renovation,Georgia,08-07-2024 00:00,06-04-2025 00:00,On Hold,High,T003,Task 003 of Shopping Mall Renovation Project 026,Pending,Alice,3,2436,0,0.82,FALSE,task 003 shop mall renov project 026
P027,University Dormitory Construction Project 027,Construction,Michigan,03-01-2024 00:00,28-12-2024 00:00,Completed,High,T001,Task 001 of University Dormitory Construction Project 027,In Progress,Frank,35,9670,0,0.84,FALSE,task 001 univers dormitori construct project 027
P027,University Dormitory Construction Project 027,Construction,Washington,03-01-2024 00:00,22-03-2025 00:00,Completed,Low,T002,Task 002 of University Dormitory Construction Project 027,In Progress,Bob,7,1646,4190,1,FALSE,task 002 univers dormitori construct project 027
P027,University Dormitory Construction Project 027,Construction,Ohio,03-01-2024 00:00,19-01-2025 00:00,Completed,Medium,T003,Task 003 of University Dormitory Construction Project 027,In Progress,Alice,30,3853,0,0.19,FALSE,task 003 univers dormitori construct project 027
P028,Sports Stadium Upgrade Project 028,Other,California,25-07-2024 00:00,19-01-2025 00:00,Behind,Medium,T001,Task 001 of Sports Stadium Upgrade Project 028,Pending,Alice,22,5266,0,0.31,FALSE,task 001 sport stadium upgrad project 028
P028,Sports Stadium Upgrade Project 028,Other,California,25-07-2024 00:00,28-05-2025 00:00,Behind,Medium,T002,Task 002 of Sports Stadium Upgrade Project 028,Pending,Bob,16,4878,0,0.78,FALSE,task 002 sport stadium upgrad project 028
P028,Sports Stadium Upgrade Project 028,Other,New York,25-07-2024 00:00,16-01-2025 00:00,Behind,Low,T003,Task 003 of Sports Stadium Upgrade Project 028,Pending,David,23,4589,0,0.98,FALSE,task 003 sport stadium upgrad project 028
P029,Public Library Renovation Project 029,Renovation,North Carolina,10-04-2024 00:00,13-05-2024 00:00,On Track,Low,T001,Task 001 of Public Library Renovation Project 029,Completed,Grace,33,3498,3235,1,FALSE,task 001 public librari renov project 029
P029,Public Library Renovation Project 029,Renovation,Michigan,10-04-2024 00:00,21-12-2024 00:00,On Track,High,T002,Task 002 of Public Library Renovation Project 029,Pending,Charlie,30,7342,0,0.15,FALSE,task 002 public librari renov project 029
P029,Public Library Renovation Project 029,Renovation,Virginia,10-04-2024 00:00,23-01-2025 00:00,On Track,High,T003,Task 003 of Public Library Renovation Project 029,Pending,Charlie,22,3172,0,0.4,FALSE,task 003 public librari renov project 029
P030,Building a Park Project 030,Other,Washington,16-07-2024 00:00,29-07-2024 00:00,On Track,High,T001,Task 001 of Building a Park Project 030,Pending,Ivy,33,8742,0,0.79,FALSE,task 001 build park project 030
P030,Building a Park Project 030,Other,Pennsylvania,16-07-2024 00:00,29-07-2024 00:00,On Track,High,T002,Task 002 of Building a Park Project 030,Pending,Charlie,1,4274,0,0.28,FALSE,task 002 build park project 030
P030,Building a Park Project 030,Other,New York,16-07-2024 00:00,29-07-2024 00:00,On Track,High,T003,Task 003 of Building a Park Project 030,In Progress,Bob,16,3338,0,0.07,FALSE,task 003 build park project 030
P031,Renovation of a School Project 031,Renovation,Illinois,19-03-2024 00:00,09-06-2024 00:00,On Track,High,T001,Task 001 of Renovation of a School Project 031,In Progress,Bob,2,3147,0,0.45,FALSE,task 001 renov school project 031
P031,Renovation of a School Project 031,Renovation,Georgia,19-03-2024 00:00,06-06-2024 00:00,On Track,High,T002,Task 002 of Renovation of a School Project 031,In Progress,Eve,11,8355,0,0.79,FALSE,task 002 renov school project 031
P031,Renovation of a School Project 031,Renovation,Georgia,19-03-2024 00:00,03-06-2024 00:00,On Track,Medium,T003,Task 003 of Renovation of a School Project 031,Completed,Eve,5,4000,3595,1,FALSE,task 003 renov school project 031
P032,Innovation of a Classroom Project 032,Innovation,New Jersey,02-05-2024 00:00,26-02-2025 00:00,On Hold,High,T001,Task 001 of Innovation of a Classroom Project 032,In Progress,Eve,12,4133,0,0.54,FALSE,task 001 innov classroom project 032
P032,Innovation of a Classroom Project 032,Innovation,New York,02-05-2024 00:00,16-04-2025 00:00,On Hold,Medium,T002,Task 002 of Innovation of a Classroom Project 032,Pending,Charlie,4,8258,0,0.39,FALSE,task 002 innov classroom project 032
P032,Innovation of a Classroom Project 032,Innovation,Washington,02-05-2024 00:00,24-03-2025 00:00,On Hold,Low,T003,Task 003 of Innovation of a Classroom Project 032,In Progress,David,33,3654,0,0.79,FALSE,task 003 innov classroom project 032
P033,Construction of a Hospital Wing Project 033,Construction,California,15-05-2024 00:00,25-09-2024 00:00,Behind,Low,T001,Task 001 of Construction of a Hospital Wing Project 033,Completed,David,4,4561,4256,1,FALSE,task 001 construct hospit wing project 033
P033,Construction of a Hospital Wing Project 033,Construction,Texas,15-05-2024 00:00,18-10-2024 00:00,Behind,High,T002,Task 002 of Construction of a Hospital Wing Project 033,In Progress,Grace,10,9743,0,0.71,FALSE,task 002 construct hospit wing project 033
P033,Construction of a Hospital Wing Project 033,Construction,New Jersey,15-05-2024 00:00,23-09-2024 00:00,Behind,High,T003,Task 003 of Construction of a Hospital Wing Project 033,Completed,David,4,7316,7140,1,FALSE,task 003 construct hospit wing project 033
